date,Unnamed: 0.1,Unnamed: 0,symbol,expiration,strike,last,type,volume,open_interest,implied_volatility,delta,gamma,theta,vega,rho,T,bs_price,adjusted_price,date
2025-10-17,1076,1076,IBM,2025-10-17,235.0,31.4,call,0,1,0.28019,0.71534,0.00625,-0.06038,0.65724,0.85771,0.580822,0.2959374,0.3057549,2025-10-17
2025-10-17,1078,1078,IBM,2025-10-17,240.0,33.55,call,0,1,0.27684,0.68227,0.00665,-0.06142,0.69063,0.82773,0.580822,0.2092589,0.2165545,2025-10-17
2025-10-17,1080,1080,IBM,2025-10-17,245.0,25.37,call,0,3,0.27669,0.64686,0.00693,-0.06256,0.71978,0.79198,0.580822,0.1591624,0.1649457,2025-10-17
2025-10-17,1081,1081,IBM,2025-10-17,245.0,17.45,put,4,24,0.3183,-0.36041,0.00607,-0.04103,0.72495,-0.63686,0.580822,92.5881,95.97229,2025-10-17
2025-10-17,1082,1082,IBM,2025-10-17,250.0,22.75,call,0,11,0.27166,0.61135,0.00728,-0.06244,0.74245,0.75712,0.580822,0.1043674,0.1082798,2025-10-17
2025-10-17,1084,1084,IBM,2025-10-17,255.0,18.95,call,0,11,0.27486,0.57451,0.00736,-0.06324,0.75923,0.71567,0.580822,0.08706144,0.09039846,2025-10-17
2025-10-17,1085,1085,IBM,2025-10-17,255.0,22.25,put,19,24,0.3183,-0.42339,0.00635,-0.04107,0.75846,-0.75814,0.580822,102.3267,106.2397,2025-10-17
2025-10-17,1086,1086,IBM,2025-10-17,260.0,19.0,call,0,15,0.26754,0.53687,0.00767,-0.06179,0.76945,0.67664,0.580822,0.05121929,0.05320947,2025-10-17
2025-10-17,1088,1088,IBM,2025-10-17,265.0,15.9,call,0,5,0.26845,0.50011,0.00767,-0.0613,0.77275,0.63418,0.580822,0.03944924,0.04098859,2025-10-17
2025-10-17,1090,1090,IBM,2025-10-17,270.0,16.3,call,1,30,0.26769,0.46354,0.00766,-0.0601,0.76952,0.59176,0.580822,0.02850689,0.02961464,2025-10-17
2025-10-17,1092,1092,IBM,2025-10-17,275.0,14.6,call,1,117,0.26678,0.42765,0.00759,-0.05849,0.76001,0.54941,0.580822,0.02037121,14.6,2025-10-17
2025-10-17,1094,1094,IBM,2025-10-17,280.0,13.35,call,2,26,0.26617,0.39295,0.00746,-0.05659,0.74476,0.50773,0.580822,0.01466941,0.01522114,2025-10-17
2025-10-17,1096,1096,IBM,2025-10-17,285.0,10.25,call,0,66,0.26571,0.35962,0.00727,-0.05442,0.7244,0.46713,0.580822,0.01059389,10.25,2025-10-17
2025-10-17,1098,1098,IBM,2025-10-17,290.0,10.25,call,15,42,0.2651,0.32764,0.00703,-0.05198,0.69946,0.42773,0.580822,0.007570109,0.007837519,2025-10-17
2025-10-17,1100,1100,IBM,2025-10-17,295.0,13.6,call,0,2,0.26602,0.29871,0.00673,-0.0497,0.67216,0.39144,0.580822,0.005822813,0.006020466,2025-10-17
2025-10-17,1102,1102,IBM,2025-10-17,300.0,11.17,call,0,25,0.27943,0.2839,0.00626,-0.05035,0.6564,0.37066,0.580822,0.008269607,0.008543604,2025-10-17
2025-10-17,1104,1104,IBM,2025-10-17,305.0,10.8,call,0,12,0.27379,0.25262,0.00603,-0.04631,0.61893,0.33218,0.580822,0.004724769,0.004872408,2025-10-17
2025-10-17,1106,1106,IBM,2025-10-17,310.0,5.3,call,0,6,0.27089,0.22542,0.00572,-0.04284,0.58154,0.29798,0.580822,0.003018075,0.003106695,2025-10-17
2025-10-17,1108,1108,IBM,2025-10-17,315.0,4.68,call,0,1,0.26891,0.20079,0.00539,-0.03955,0.54357,0.26662,0.580822,0.001998349,0.0020532,2025-10-17
2025-10-17,1110,1110,IBM,2025-10-17,320.0,7.5,call,0,1,0.27592,0.18761,0.00504,-0.03866,0.52155,0.24895,0.580822,0.002200544,0.002258483,2025-10-17
2025-10-17,1112,1112,IBM,2025-10-17,325.0,4.4,call,0,1,0.26922,0.16127,0.00469,-0.03416,0.47374,0.21544,0.580822,0.001106315,0.00113278,2025-10-17
2025-10-17,1114,1114,IBM,2025-10-17,330.0,3.14,call,0,1,0.2744,0.14934,0.00437,-0.03291,0.45029,0.1995,0.580822,0.001122201,0.001147712,2025-10-17
2025-10-17,1116,1116,IBM,2025-10-17,335.0,2.71,call,0,7,0.28202,0.14117,0.0041,-0.03238,0.43357,0.18832,0.580822,0.001318323,0.001347172,2025-10-17
2025-10-17,1118,1118,IBM,2025-10-17,340.0,2.38,call,0,8,0.28233,0.12668,0.0038,-0.02998,0.40247,0.16941,0.580822,0.00101444,0.001035046,2025-10-17
2025-10-17,1120,1120,IBM,2025-10-17,345.0,2.58,call,0,6,0.27059,0.10179,0.00339,-0.02455,0.34437,0.1373,0.580822,0.0003582234,0.0003644522,2025-10-17
2025-10-17,1122,1122,IBM,2025-10-17,350.0,1.84,call,0,8,0.28263,0.10121,0.00323,-0.0254,0.34293,0.13598,0.580822,0.0005904533,0.0006006729,2025-10-17
2025-10-17,1124,1124,IBM,2025-10-17,355.0,1.95,call,0,8,0.27409,0.08247,0.00287,-0.02113,0.29466,0.11154,0.580822,0.0002509484,0.0002546816,2025-10-17
2025-10-17,1126,1126,IBM,2025-10-17,360.0,1.48,call,0,5,0.28065,0.07834,0.00269,-0.02073,0.28344,0.10582,0.580822,0.0002955391,0.0002997672,2025-10-17
2025-10-17,1128,1128,IBM,2025-10-17,365.0,1.38,call,0,8,0.2872,0.07469,0.00254,-0.02038,0.27332,0.10075,0.580822,0.0003465854,0.0003513658,2025-10-17
2025-10-17,1130,1130,IBM,2025-10-17,370.0,1.81,call,0,1,0.27851,0.0597,0.0022,-0.0166,0.22984,0.08104,0.580822,0.0001436949,0.0001453621,2025-10-17
2025-10-17,1132,1132,IBM,2025-10-17,380.0,1.04,call,0,1,0.2869,0.05189,0.00191,-0.01522,0.20575,0.07039,0.580822,0.0001505352,0.0001520982,2025-10-17
2025-10-17,1134,1134,IBM,2025-10-17,390.0,0.65,call,5,0,0.27394,0.03305,0.00139,-0.01005,0.14277,0.04526,0.580822,3.126349e-05,3.148884e-05,2025-10-17
2026-01-16,1136,1136,IBM,2026-01-16,70.0,182.45,call,0,0,0.03794,1.0,0.0,-0.00801,0.0,0.56415,0.830137,81.1526,81.1526,2026-01-16
2026-01-16,1138,1138,IBM,2026-01-16,75.0,138.0,call,0,0,0.0369,1.0,0.0,-0.00858,0.0,0.60444,0.830137,76.23493,76.23493,2026-01-16
2026-01-16,1139,1139,IBM,2026-01-16,75.0,0.17,put,7,84,0.60625,-0.0056,0.00011,-0.00347,0.037,-0.01435,0.830137,2.660486,0.17,2026-01-16
2026-01-16,1142,1142,IBM,2026-01-16,85.0,130.65,call,0,0,0.03483,1.0,0.0,-0.00973,0.0,0.68503,0.830137,66.39958,66.39958,2026-01-16
2026-01-16,1144,1144,IBM,2026-01-16,90.0,162.5,call,0,1,0.03379,1.0,0.0,-0.0103,0.0,0.72533,0.830137,61.48191,61.48191,2026-01-16
2026-01-16,1146,1146,IBM,2026-01-16,95.0,127.38,call,0,0,0.03275,1.0,0.0,-0.01087,0.0,0.76563,0.830137,56.56424,56.56424,2026-01-16
2026-01-16,1148,1148,IBM,2026-01-16,100.0,163.78,call,0,7,0.03172,1.0,0.0,-0.01144,0.0,0.80592,0.830137,51.64657,51.64657,2026-01-16
2026-01-16,1152,1152,IBM,2026-01-16,110.0,113.53,call,0,23,0.02964,1.0,0.0,-0.01259,0.0,0.88651,0.830137,41.81122,41.81122,2026-01-16
